花創作　高原	松戸市稔台7-3-1　関コーポ	35.787724	139.927917	047-308-5187	商品代金の5％off (只、お持ち帰り商品に限らせて頂きます。）※ギフト券は除く
金太楼鮨上本郷店	松戸市上本郷2648-6	35.789646	139.916397	047-363-0145	お子様にアイスクリームサービス
松戸ヘルスランド	松戸市松戸新田580-1	35.789875	139.930222	047-366-2467	貸タオル（小）100円と貸タオル（大）200円を1組無料サービス
オートバックス松戸店	松戸市松戸新田63-1	35.77919	139.91626	047-308-5400	「子育てみらいカード」提示でエンジンオイルを10％ＯＦＦ。「子育てみらいカード」提示で車検基本料金より1,000円引き。
車検のコバック　南花島店	松戸市南花島2-21-4	35.792122	139.909744	047-365-3118	車検時、エンジンオイル交換無料（対象：乗用車まで）
車検のコバック　松戸新田店	松戸市松戸新田122-1	35.782009	139.918716	047-369-1199	車検時、エンジンオイル交換無料（対象：乗用車まで）
イタリア家庭料理　ベッラビスタ	松戸市稔台1-11-31　深沢ビル1Ｆ　104	35.788715	139.930206	047-364-7710	お子様1ドリンクサービス（ブドウジュースなっちゃん）
セオサイクル　稔台店	松戸市稔台1-8-10-101	35.789227	139.932312	047-312-2666	自転車の買い替え時、処分料を無料にします。(通常は￥525です。）
株式会社Ａｕｔｏ　Ｋｕｒｉｌ	松戸市稔台3-41-1	35.780487	139.931839	047-710-8480	鈑金塗装修理　工賃5％off
タイヨ―電気　松戸仲井町店	松戸市仲井町1-87	35.789265	139.920242	047-366-4440	お買い上げ金額5000円以上で７％割引　※現金お支払い時のみ
おぎはら整骨院	松戸市稔台2-1-1　稔台ハイツ101	35.785927	139.931168	047-361-3822	お子様用おやつのサービス
自家培養酵母パン　グランクール	松戸市稔台1-12-15-105	35.788326	139.930405	047-308-3608	スタンプを2倍サービス
理容室　マツクラ	松戸市稔台1-1-8　松倉ビル2Ｆ	35.789291	139.931046	047-368-1647	カードを提示して頂いたお子様には子供カットをサービス価格にて提供させて頂きます。
中華料理　桝屋	松戸市仲井町1-92	35.789265	139.920242	047-362-7670	お連れのお子様１人につき、ヤクルト400を1本サービス
ヘアーサロン　ベア	松戸市仲井町1-5-1	35.790016	139.922211	047-366-8052	お子様の技術料金5％引き
酒舗わたなべ　(有)渡辺酒店	松戸市稔台1-12-15	35.788326	139.930405	047-362-6777	1，000円以上お買い上げのお客様はポイント2倍のサービス致します。
ハートリブカフェ	松戸市松戸新田579-9浮ヶ谷ビル1Ｆ	35.79007	139.93103	047-308-0666	100円引き
肉の江川	松戸市松戸新田579-5	35.79007	139.93103	047-362-3279	毎週（月）・（木）・（土）「みのりスタンプ」2倍サービス
